model_class,acc,kwargs
SVMClassifier,0.7967281729775941,"{'kernel': 'poly', 'degree': 1}"
TabRClassifier,0.5867754782175043,"{'d_main': 12, 'd_multiplier': 1.5, 'seed': 42}"
TabRClassifier,0.6163859936593881,"{'d_main': 36, 'd_multiplier': 2, 'seed': 42}"
TabRClassifier,0.6333270402165783,"{'d_main': 36, 'd_multiplier': 1.5, 'seed': 42}"
XGBClassifier,0.8418457592704736,"{'max_depth': 3, 'min_child_weight': 1}"
XGBClassifier,0.8474576283261497,"{'max_depth': 6, 'min_child_weight': 1}"
XGBClassifier,0.8461440530046664,"{'max_depth': 6, 'min_child_weight': 4}"
SVMClassifier,0.7967281729775941,"{'kernel': 'poly', 'degree': 1}"
TabRClassifier,0.5867754782175043,"{'d_main': 12, 'd_multiplier': 1.5, 'seed': 42}"
TabRClassifier,0.614833826096249,"{'d_main': 36, 'd_multiplier': 2, 'seed': 42}"
TabRClassifier,0.6326109785202864,"{'d_main': 36, 'd_multiplier': 1.5, 'seed': 42}"
XGBClassifier,0.8418457592704736,"{'max_depth': 3, 'min_child_weight': 1}"
XGBClassifier,0.8474576283261497,"{'max_depth': 6, 'min_child_weight': 1}"
XGBClassifier,0.8461440530046664,"{'max_depth': 6, 'min_child_weight': 4}"
